Book,Event,Chapters,Themes
Genesis,Creation of the World,"""1,2""","Creation, God's Sovereignty"
Genesis,The Fall of Man,"""3""","Sin, Temptation, Judgment, Redemption"
Genesis,The Flood and Noah's Ark,"""6,7,8,9""","Judgment, Covenant, Salvation"
Genesis,The Tower of Babel,"""11""","Pride, Judgment, Language, Diversity"
Genesis,The Call of Abraham,"""12""","Faith, Covenant, Promise"
Genesis,The Sacrifice of Isaac,"""22""","Faith, Obedience, Test"
Exodus,The Birth of Moses,"""2""","Providence, Deliverance"
Exodus,The Burning Bush,"""3""","Calling, Holiness, Divine Mission"
Exodus,The Ten Plagues of Egypt,"""7,8,9,10,11,12""","Judgment, Deliverance, God's Power"
Exodus,The Exodus and Parting of the Red Sea,"""13,14""","Redemption, Deliverance, Faith"
Exodus,The Giving of the Ten Commandments,"""20""","Law, Covenant, Holiness"
Leviticus,The Offerings and Sacrifices,"""1,2,3,4,5,6,7""","Atonement, Worship, Holiness"
Leviticus,The Day of Atonement,"""16""","Atonement, Repentance, Forgiveness"
Numbers,The Twelve Spies in Canaan,"""13,14""","Faith, Doubt, Consequences"
Numbers,The Bronze Serpent,"""21""","Salvation, Faith, Healing"
Deuteronomy,Moses’ Farewell Address and Death,"""31,32,33,34""","Covenant, Leadership, Transition, Legacy"
Joshua,Crossing the Jordan River,"""3,4""","Faith, Obedience, God's Faithfulness"
Joshua,The Battle of Jericho,"""6""","Obedience, Faith, God's Power"
Joshua,The Sun Stands Still,"""10""","Miracles, Faith, Divine Intervention"
Judges,Deborah's Victory Over Sisera,"""4,5""","Leadership, Faith, Deliverance"
Judges,Gideon Defeats the Midianites,"""6,7,8""","Faith, Courage, Divine Strength"
Judges,Samson and Delilah,"""13,14,15,16""","Strength, Betrayal, Consequences"
Judges,The Cycle of the Judges,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21""","Sin, Judgment, Deliverance, Repentance"
Ruth,Ruth’s Loyalty and Redemption by Boaz,"""1,2,3,4""","Loyalty, Redemption, God's Providence"
1 Samuel,The Anointing of Saul as King,"""9,10""","Leadership, Kingship, God's Choice"
1 Samuel,David and Goliath,"""17""","Faith, Courage, God's Power"
1 Samuel,Saul's Jealousy and Pursuit of David,"""18,19,20,21,22,23,24""","Jealousy, Friendship, Providence"
2 Samuel,David Becomes King,"""1,2,3,4,5""","Kingship, Covenant, Leadership"
2 Samuel,David and Bathsheba,"""11,12""","Sin, Repentance, Forgiveness"
2 Samuel,Absalom's Rebellion,"""15,16,17,18""","Rebellion, Family Strife, Judgment"
1 Kings,Solomon’s Reign and Building the Temple,"""1,2,3,4,5,6,7,8,9,10,11""","Wisdom, Worship, Prosperity, Apostasy"
1 Kings,The Division of the Kingdom,"""12""","Rebellion, Division, Judgment"
1 Kings,Elijah and the Prophets of Baal,"""18""","Faith, Idolatry, God's Power, Judgment"
2 Kings,Elisha’s Miracles,"""2,3,4,5,6,7,8""","Faith, Miracles, God's Provision"
2 Kings,The Fall of Jerusalem and Exile,"""25""","Judgment, Exile, Consequences"
1 Chronicles,Genealogies and the Reign of David,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29""","Legacy, Kingship, Worship"
2 Chronicles,Solomon’s Reign and the Building of the Temple,"""1,2,3,4,5,6,7,8,9""","Wisdom, Worship, Prosperity"
2 Chronicles,The Reforms of King Josiah,"""34,35""","Repentance, Reform, Covenant"
Ezra,The Return from Exile,"""1,2""","Restoration, Providence, Obedience"
Ezra,Rebuilding the Temple,"""3,4,5,6""","Worship, Opposition, Perseverance"
Ezra,Ezra’s Reforms,"""7,8,9,10""","Covenant, Law, Repentance"
Nehemiah,Rebuilding the Walls of Jerusalem,"""1,2,3,4,5,6,7""","Leadership, Perseverance, God's Protection"
Nehemiah,Nehemiah’s Reforms,"""8,9,10,11,12,13""","Covenant, Obedience, Revival"
Esther,Esther Becomes Queen,"""1,2""","Providence, Divine Favor, Courage"
Esther,Haman’s Plot to Destroy the Jews,"""3,4,5,6,7""","Evil, Divine Intervention, Justice"
Esther,The Jews’ Deliverance,"""8,9,10""","Salvation, Reversal of Fortune, God's Protection"
Job,Job’s Suffering and Dialogue with Friends,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37""","Suffering, Faith, Divine Justice"
Job,God’s Response and Job’s Restoration,"""38,39,40,41,42""","Sovereignty, Restoration, Humility"
Psalms,"Various Psalms of Praise, Lament, and Wisdom","""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150""","Worship, Praise, Lament, Wisdom, Messianic Hope"
Proverbs,Sayings of Wisdom,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31""","Wisdom, Righteousness, Fear of the Lord"
Ecclesiastes,The Futility of Life and the Pursuit of Meaning,"""1,2,3,4,5,6,7,8,9,10,11,12""","Meaning of Life, Vanity, God's Sovereignty"
Song of Solomon,The Love Between Bride and Groom,"""1,2,3,4,5,6,7,8""","Love, Marriage, Intimacy, Allegory of God's Love"
Isaiah,Isaiah’s Vision and Call,"""6""","Holiness, Mission, Prophetic Calling"
Isaiah,Prophecies of the Messiah,"""7,9,53""","Salvation, Redemption, Suffering Servant"
Isaiah,Judgment and Comfort for Israel,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66""","Judgment, Hope, Restoration"
Jeremiah,Jeremiah’s Call and Early Prophecies,"""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20""","Prophetic Calling, Rejection, Suffering"
Jeremiah,Prophecy of the New Covenant,"""31""","Covenant, Hope, Restoration"
Lamentations,The Fall of Jerusalem Lamented,"""1,2,3,4,5""","Mourning, Judgment, Hope"
Ezekiel,Ezekiel’s Vision of God,"""1""","Holiness, Sovereignty, Glory of God"
Ezekiel,The Valley of Dry Bones,"""37""","Resurrection, Restoration, Hope"
Daniel,Daniel in the Lion’s Den,"""6""","Faith, God's Deliverance, Courage"
Daniel,The Vision of the Four Beasts,"""7""","Prophecy, Kingdoms, Divine Sovereignty"
Hosea,Hosea’s Marriage to Gomer,"""1,2,3""","Unfaithfulness, God's Love, Redemption"
Hosea,Israel’s Unfaithfulness,"""4,5,6,7,8,9,10,11,12,13,14""","Judgment, Mercy, Repentance"
Joel,The Day of the Lord,"""1,2,3""","Judgment, Repentance, Restoration"
Amos,Prophecies Against Israel’s Neighbors,"""1,2""","Judgment, Justice, God's Sovereignty"
Amos,Judgment on Israel,"""3,4,5,6,7,8,9""","Social Justice, Covenant, Accountability"
Obadiah,Prophecy Against Edom,"""1""","Judgment, Justice, God's Sovereignty"
Jonah,Jonah’s Call and Flight,"""1""","Disobedience, Mercy, God's Pursuit"
Jonah,Jonah Preaches to Nineveh,"""3,4""","Repentance, God's Compassion, Judgment"
Micah,Judgment and Restoration of Israel,"""1,2,3,4,5,6,7""","Judgment, Mercy, Social Justice, Hope"
Nahum,Judgment on Nineveh,"""1,2,3""","Justice, God's Wrath, Deliverance"
Habakkuk,Habakkuk’s Complaint and God’s Response,"""1,2,3""","Faith, Sovereignty, Trust"
Zephaniah,The Day of the Lord,"""1,2,3""","Judgment, Restoration, Hope"
Haggai,Rebuilding the Temple,"""1,2""","Obedience, Priority of Worship, Encouragement"
Zechariah,Visions of Encouragement for Israel,"""1,2,3,4,5,6,7,8""","Restoration, Hope, Messianic Prophecy"
Zechariah,Prophecies of the Messiah,"""9,10,11,12,13,14""","Salvation, Kingship, End Times"
Malachi,Prophecies of Coming Judgment and Promise,"""1,2,3,4""","Covenant, Judgment, Restoration, Messiah"
Matthew,The Birth of Jesus,"""1,2""","Incarnation, Fulfillment of Prophecy"
Matthew,The Sermon on the Mount,"""5,6,7""","Ethics, Kingdom of God, Righteousness"
Matthew,The Crucifixion and Resurrection,"""26,27,28""","Atonement, Sacrifice, Victory over Death"
Mark,The Ministry of John the Baptist,"""1""","Repentance, Baptism, Preparation"
Mark,The Transfiguration of Jesus,"""9""","Revelation of Glory, Divinity of Christ"
Mark,The Great Commission,"""16""","Evangelism, Discipleship, Mission"
Luke,The Parable of the Good Samaritan,"""10""","Love, Mercy, Compassion"
Luke,The Prodigal Son,"""15""","Forgiveness, Repentance, God's Love"
Luke,The Road to Emmaus,"""24""","Resurrection, Revelation, Faith"
John,The Wedding at Cana,"""2""","Miracles, Divine Power, Jesus' Ministry"
John,The Raising of Lazarus,"""11""","Resurrection, Faith, Jesus' Power over Death"
John,Jesus’ High Priestly Prayer,"""17""","Unity, Glory, Mission"
Acts,Pentecost and the Coming of the Holy Spirit,"""2""","Holy Spirit, Church, Mission"
Acts,The Conversion of Saul (Paul),"""9""","Transformation, Mission, Grace"
Acts,The Council of Jerusalem,"""15""","Church Unity, Gentile Inclusion, Doctrine"
Romans,Justification by Faith,"""3,4,5""","Faith, Grace, Salvation, Righteousness"
Romans,Life in the Spirit,"""8""","Sanctification, Holy Spirit, Christian Living"
Romans,Christian Conduct and Love,"""12""","Ethics, Love, Humility"
1 Corinthians,Divisions in the Church,"""1,2,3,4""","Unity, Leadership, Wisdom"
1 Corinthians,The Resurrection of the Dead,"""15""","Resurrection, Hope, Victory over Death"
2 Corinthians,Paul’s Defense of His Ministry,"""10,11,12,13""","Apostleship, Suffering, Strength in Weakness"
Galatians,"Justification by Faith, Not Law","""3,4""","Grace, Freedom, Law, Spirit"
Ephesians,The Armor of God,"""6""","Spiritual Warfare, Strength, Perseverance"
Philippians,The Example of Christ's Humility,"""2""","Humility, Unity, Christlikeness"
Colossians,The Supremacy of Christ,"""1,2""","Christ’s Divinity, False Teachings"
1 Thessalonians,The Coming of the Lord,"""4,5""","Second Coming, Encouragement, Holiness"
2 Thessalonians,The Day of the Lord,"""2""","Judgment, Hope, Faithfulness"
1 Timothy,Qualifications for Church Leaders,"""3""","Leadership, Church Order, Godliness"
2 Timothy,Paul’s Final Charge to Timothy,"""4""","Perseverance, Faithfulness, Legacy"
Titus,Instructions for Church Leadership,"""1,2,3""","Good Works, Sound Doctrine, Grace"
Philemon,Paul’s Plea for Onesimus,"""1""","Forgiveness, Reconciliation, Christian Brotherhood"
Hebrews,Christ’s Superiority Over the Old Covenant,"""1,2,3,4,5,6,7,8,9,10""","Faith, Priesthood, Sacrifice, Covenant"
Hebrews,The Hall of Faith,"""11""","Faith, Perseverance, Witness"
James,Faith and Works,"""2""","Faith, Works, Christian Living"
1 Peter,Suffering for Doing Good,"""3,4""","Suffering, Hope, Christian Conduct"
2 Peter,Warning Against False Teachers,"""2""","False Teachings, Knowledge, Godliness"
1 John,Walking in the Light,"""1,2""","Love, Fellowship, Truth"
2 John,Walking in Truth and Love,"""1""","Truth, Love, Doctrine"
3 John,Hospitality and Support for Fellow Believers,"""1""","Hospitality, Fellowship, Truth"
Jude,Contending for the Faith,"""1""","False Teachings, Faith, Judgment"
Revelation,Letters to the Seven Churches,"""2,3""","Church, Warning, Promise"
Revelation,The Vision of the New Heaven and New Earth,"""21,22""","Restoration, Eternity, God's Sovereignty"